+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
|  reino   |   filo   | classe |      ordem       |      familia      |   subfamilia   |                 especie                 |                nome_cientifico                 |             autor              |     nome_popular     | nome_ingles |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Aramus         | A. guarauna                             | Aramus guarauna                                | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Aramides       | A. cajaneus                             | Aramides cajaneus                              | (Statius Muller, 1776)         |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Aramides       | A. saracura                             | Aramides saracura                              | (Spix, 1825)                   |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Pardirallus    | P. nigricans                            | Pardirallus nigricans                          | (Vieillot, 1819)               |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Gallinula      | G. galeata                              | Gallinula galeata                              | (Lichtenstein, 1818)           |                      |             |
| Animalia | Chordata | Aves   | Charadriiformes  | Charadriidae      | Vanellus       | V. chilensis                            | Vanellus chilensis                             | (Molina, 1782)                 |                      |             |
| Animalia | Chordata | Aves   | Charadriiformes  | Charadriidae      | Tringa         | T. solitaria Wilson, 1813               | Tringa solitaria Wilson, 1813                  | ()                             |                      |             |
| Animalia | Chordata | Aves   | Charadriiformes  | Charadriidae      | Jacana         | J. jacana                               | Jacana jacana                                  | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Columbina      | C. talpacoti                            | Columbina talpacoti                            | (Temminck, 1810)               |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Columba        | C. livia Gmelin, 1789                   | Columba livia Gmelin, 1789                     | ()                             |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Patagioenas    | P. picazuro                             | Patagioenas picazuro                           | (Temminck, 1813)               |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Zenaida        | Z. auriculata                           | Zenaida auriculata                             | (Des Murs, 1847)               |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Leptotila      | L. verreauxi Bonaparte, 1855            | Leptotila verreauxi Bonaparte, 1855            | ()                             |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Leptotila      | L. rufaxilla                            | Leptotila rufaxilla                            | (Richard & Bernard, 1792)      |                      |             |
| Animalia | Chordata | Aves   | Columbiformes    | Columbidae        | Geotrygon      | G. montana                              | Geotrygon montana                              | (Linnaeus, 1758)               |                      |             |
| Animalia | Chordata | Aves   | Cuculiformes     | Cuculidae         | Piaya          | P. cayana                               | Piaya cayana                                   | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Cuculiformes     | Cuculidae         | Crotophaga     | C. ani Linnaeus, 1758                   | Crotophaga ani Linnaeus, 1758                  | ()                             |                      |             |
| Animalia | Chordata | Aves   | Cuculiformes     | Cuculidae         | Guira          | G. guira                                | Guira guira                                    | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Tyto           | T. furcata                              | Tyto furcata                                   | (Temminck, 1827)               |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Megascops      | M. choliba                              | Megascops choliba                              | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Athene         | A. cunicularia                          | Athene cunicularia                             | (Molina, 1782)                 |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Asio           | A. clamator                             | Asio clamator                                  | (Vieillot, 1808)               |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Asio           | A. stygius                              | Asio stygius                                   | (Wagler, 1832)                 |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Lurocalis      | L. semitorquatus                        | Lurocalis semitorquatus                        | (Gmelin, 1789)                 |                      |             |
| Animalia | Chordata | Aves   | Strigiformes     | Tytonidae         | Nyctidromus    | N. albicollis                           | Nyctidromus albicollis                         | (Gmelin, 1789)                 |                      |             |
| Animalia | Chordata | Aves   | Apodiformes      | Apodidae          | Chaetura       | C. meridionalis Hellmayr, 1907          | Chaetura meridionalis Hellmayr, 1907           | ()                             |                      |             |
| Animalia | Chordata | Aves   | Apodiformes      | Trochilidae       | Eupetomena     | E. macroura                             | Eupetomena macroura                            | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Apodiformes      | Trochilidae       | Chlorostilbon  | C. lucidus                              | Chlorostilbon lucidus                          | (Shaw, 1812)                   |                      |             |
| Animalia | Chordata | Aves   | Apodiformes      | Trochilidae       | Leucochloris   | L. albicollis                           | Leucochloris albicollis                        | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Apodiformes      | Trochilidae       | Amazilia       | A. versicolor                           | Amazilia versicolor                            | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Apodiformes      | Trochilidae       | Amazilia       | A. lactea                               | Amazilia lactea                                | (Lesson, 1832)                 |                      |             |
| Animalia | Chordata | Aves   | Coraciiformes    | Alcedinidae       | Megaceryle     | M. torquata                             | Megaceryle torquata                            | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Coraciiformes    | Alcedinidae       | Chloroceryle   | C. amazona                              | Chloroceryle amazona                           | (Latham, 1790)                 |                      |             |
| Animalia | Chordata | Aves   | Coraciiformes    | Alcedinidae       | Chloroceryle   | C. americana                            | Chloroceryle americana                         | (Gmelin, 1788)                 |                      |             |
